,Company/Brand,Sector,Stage,Amount($),HeadQuarter,What it does,Year,Country
534,Lenskart,e-commerce,series g,275000000,Delhi,It is a eyewear company,2019,India
535,Cub McPaws,e-commerce & ar,seed,1600000,Mumbai,A B2C  brand that focusses on premium and comfortable merchandise for Generation Alpha – kids,2019,India
536,Appnomic,saas,seed,22000000,Bengaluru,"It is a self-healing enterprise, the IT operations software detects, predicts and prevents problems before they happen",2019,India
537,Kaleidofin,fintech,series a,5000000,Chennai,Platform that provides complete financial solutions for excluded individuals and households,2019,India
538,JobSquare,hr tech,seed,140500,Ahmedabad,Technology-based platform that is connecting suitable applicants to the right recruiters,2019,India
539,Open Secret,food tech,seed,1600000,Cavite,It produces and sells top quality snacks,2019,Philippines
540,LivFin,fintech,seed,5000000,Delhi,"Grants small business loans, supply chain finance and working capital loans to small and medium enterprises",2019,India
541,Byju's,edtech,seed,540000000,Bengaluru,Provides online learning classes,2019,India
542,Zest Money,fintech,series b,15000000,Bengaluru,Uses AI to do risk profiling of e-commerce consumers who opt for EMI,2019,India
543,Witblox,edtech,seed,182700,Bengaluru,Offers a range of robotics learning tools,2019,India
544,Azah Personal Care Pvt. Ltd.,health,pre series a,1600000,Gurugram,Aims to solve some problems in the feminine hygiene sector,2019,India
545,SalaryFits,fintech,seed,5000000,Bengaluru,A platform that promotes financial well-being of employees at workplace,2019,India
546,Pristyn Care,healthcare,series b,12000000,Bengaluru,Delivers advanced medical care & clinical excellence aided by next-level technology,2019,India
547,Springboard,edtech,post series a,11000000,Bengaluru,Offers online courses and extensive mentor-based learning,2019,India
548,DROR Labs Pvt. Ltd,safety tech,seed,1600000,Delhi,It uses technology to create a trust-based network of responsible citizens to ensure safety,2019,India
549,Medlife,pharmaceutical,seed,15500000,Bengaluru,It solves inadequacies in the healthcare delivery system through technology,2019,India
550,Seekify,saas,seed,1500000,Delhi,Customer Experience (CX) Automation platform,2019,India
551,Toffee Insurance,insurance technology,series a,5500000,Haryana,Provides variety of insurance plans and policies,2019,India
552,Fireflies .ai,ai,seed,5000000,Bengaluru,Developer of an artificial intelligence-powered assistant for businesses,2019,India
553,HungerBox,foodtech,series c,12000000,Bengaluru,"Offers B2B tech platform to corporates, aimed at improving the operations of their cafeterias",2019,India
554,Bijak,agritech,seed,2500000,Chhatarpur,B2B platform for agricultural commodities.,2019,India
555,Licious,food,series e,30000000,Bengaluru,Online meat shop,2019,India
556,truMe,iot,seed,140000,Gurugram,A global platform for Identity and Access Management,2019,India
557,Pumpkart,e-marketplace,seed,1600000,Chandigarh,B2B model for appliances and electrical products,2019,India
558,Asteria Aerospace,robotics & ai,seed,230000000,Bengaluru,"Develops drones that are used by the military, paramilitary, police forces and in various industries.",2019,India
559,Rivigo,logistics,series f,20000000,Hermosillo,"It offers delivery services across India to retail, e-commerce, pharmaceutical, automobile and FMCG companies",2019,México
560,HappyEasyGo,travel,series b+,49400000,Gurugram,Online flight booking,2019,India
561,Zetwerk,manufacturing,series b,32000000,Bengaluru,Provides facilities to get products manufactured.,2019,India
562,Observe.AI,ai,series a,26000000,Bengaluru,Creates a voice AI platform,2019,India
563,Freshokartz,e-marketplace,pre series a,150000,Jaipur,Online fruits and vegetables delivery company,2019,India
564,Lil’ Goodness and sCool meal,food & nutrition,seed,400000,Bengaluru,It empowers moms to provide the best of foods to their Lil' ones,2019,India
565,Trell,social media,pre series a,2000000,Bengaluru,Blogging platform that enables people to create visual collections of their travel and local experiences,2019,India
566,VMate,fintech,seed,100000000,Bengaluru,A short video platform,2019,India
567,Bombay Shirt Company,e-commerce,seed,8000000,Mumbai,Online custom shirt brand,2019,India
568,Slintel,saas,seed,1500000,Bengaluru,"It helps sales and marketing teams understand purchase intent of buyers on buying patterns, usage and renewals",2019,India
569,MyGameMate,e-sports,seed,100000,Bengaluru,eSports platform where players can access various multiplayer mobile games to participate in online tournaments,2019,India
570,Afinoz,fintech,seed,1600000,Noida,Online financial marketplace for customized rate quotes on loans and investment products in India,2019,India
571,Rein Games,technology,pre series a,50000000,Noida,"It develops, publishes and distributes games across various platforms",2019,India
572,Ecozen,agritech,series a,6000000,Pune,It develops technology-enabled products to strengthen the farm-to-fork value chain of perishables.,2019,India
573,Box8,foodtech,seed,120000000,Mumbai,Enables to order food online,2019,India
574,Awign Enterprises,fintech,series a,4000000,Bengaluru,It supplies workforce to the economy,2019,India
575,Purplle,cosmetics,series c,30000000,Mumbai,Online makeup and beauty products retailer,2019,India
576,Freightwalla,b2b,series a,4000000,Mumbai,Provides digital platform for businesses to plan and manage their international freight shipments online,2019,India
577,TapChief,fintech,pre series a,1500000,Bengaluru,It connects individuals in need of advice in a specific domain to individuals who have expertise in the same,2019,India
578,eJOHRI,jewellery,pre series a,1000000,Mumbai,Omnichannel marketplace for gems and jewellery,2019,India
579,Ninjacart,b2b supply chain,seed,1600000,Bengaluru,"It connects producers of food directly to retailers, restuarants and service providers.",2019,India
580,Binca Games,games,seed,1600000,Mumbai,It offers games that are available across India and UK.,2019,India
581,KredX,fintech,series b,26000000,Bengaluru,Invoice discounting platform,2019,India
582,m.Paani,fintech,series a,5500000,Mumbai,It digitizes and organises local retailers,2019,India
583,Origo,agritech,seed,6800000,Gurugram,It provides post-harvest management services for agricultural commodities,2019,India
584,WishADish,food & tech,seed,6000000,Delhi,Provides management solution for restaurants,2019,India
585,Ecom Express,logistics,seed,36000000,Gurugram,It is a technology enabled logistics solutions provider to the Indian e-commerce industry,2019,India
586,Stanza Living,accomodation,seed,5700000,Delhi,Provides comfortable and secure accomodation for students,2019,India
587,PiBeam,automotive tech,seed,50000000,Chennai,It is engaged in building sustainable and affordable micro-mobility electric vehicles,2019,India
588,Euler Motors,automotive tech,seed,2000000,Delhi,It is offering mobility as a service,2019,India
589,Moms Co,e-commerce,series b,5000000,Delhi,It is into mother and baby care-focused consumer goods,2019,India
590,Cubical Labs,iot,series b,1600000,Bengaluru,Home automation solution provider,2019,India
591,Lawyered,legal tech,seed,100000,Delhi,It helps to connect to legal advise online,2019,India
592,Cuemath,edtech,seed,5500000,Bengaluru,It helps students to learn math online,2019,India
593,Licious,food,series d,25000000,Bengaluru,Online meat shop,2019,India
594,Nivesh.com,mutual funds,seed,600000,Noida,The platform simplifies the process of investment,2019,India
595,Zebu,cybersecurity,seed,4000000,Waterloo,"Platform uses encryption technology to allow businesses to safely store files, invoices, and schedules",2019,United States
596,Smart Institute,edtech,seed,1500000,Surat,A platform to learn online,2019,France
597,CarDekho,automobile,series d,70000000,Jaipur,Enables people to buy and sell new/old cars.,2019,India
598,Shadowfax,logistics,series d,60000000,Bengaluru,A platform for delivery services,2019,India
599,Credr,automobile,seed,6000000,Mumbai,A marketplace to buy and sell used bikes and scooters,2019,India
600,Sportido,sports,series b,1600000,Noida,It is a sports discovery app that helps to find people and places to play 700+ sports,2019,India
601,Phable,healthtech,seed,220000,Bengaluru,"It creates an engagement loop between doctors, hospitals, and patients via its app",2019,India
602,Sarva,yoga & wellness,seed,2800000,Chennai,It drives a cultural change in making yoga-based wellness a part of modern lifestyle,2019,India
603,IndyFint,virtual banking,series a,2100000,Bengaluru,"It helps lenders to directly provide short-term loans to merchants, employees, and students",2019,India
604,Zolostays,accomodation,seed,7000000,Bengaluru,It offers affordable housing apartments to young professionals and students,2019,India
605,Ola,transportation,seed,311000000,Bengaluru,It enables one to book cab online,2019,India
606,Zoomcar,transport & rentals,seed,4800000,Bengaluru,A car rental service platform,2019,India
607,Froogal,marketing & customer loyalty,pre series a,1000000,Hyderabad,A cloud based Customer Loyalty & Engagement Platform,2019,India
608,Infra.Market,infratech,series a,20000000,Mumbai,"It connects client requirements to their supply chain infrastructure for ease of ordering, tracking and manufacturing",2019,India
609,Oyo,hospitality,seed,693000000,Gurugram,Provides rooms for comfortable stay,2019,India
610,GoMechanic,automobile & technology,series b,5000000,Delhi,Find automobile repair and maintenance service providers,2019,India
611,Spinny,automobile,seed,50000000,Delhi,Online car retailer,2019,India
612,Ess Kay Fincorp,banking,seed,33000000,Rajasthan,Organised Non-Banking Finance Company,2019,India
613,Aqgromalin,agritech,seed,200000,Chennai,Cultivating Ideas for Profit,2020,India
614,Krayonnz,edtech,pre-seed,100000,Bengaluru,An academy-guardian-scholar centric ecosystem which provides state of the art technological solutions.,2020,India
615,PadCare Labs,hygiene management,pre-seed,1600000,Pune,Converting bio-hazardous waste to harmless waste,2020,India
616,NCOME,escrow,seed,400000,Delhi,Escrow-as-a-service platform,2020,India
617,Gramophone,agritech,seed,340000,Indore,Gramophone is an AgTech platform enabling access to agri inputs and powering efficient farm management.,2020,India
618,qZense,agritech,seed,600000,Bengaluru,qZense Labs is building the next-generation IoT solution for fresh food quality assessment and management.,2020,India
619,MyClassboard,edtech,pre-series a,600000,Hyderabad,MyClassboard is a full-fledged School / College Management Software.,2020,India
620,Metvy,networking platform,pre-series,1600000,Gurgaon,AI driven networking platform for individuals and organisations which aims to provided a seamless end to end networking experience.,2020,India
621,Rupeek,fintech,series c,45000000,Bengaluru,"Rupeek is an online lending platform that specializes in credit risk, gold loans, and personal loans.",2020,India
622,Gig India,crowdsourcing,pre-series a,1000000,Pune,GigIndia is a marketplace that provides on-demand work completion for companies through a gig workforce of jobseekers.,2020,India
623,Slurrp Farm,food & bevarages,series a,2000000,Gurgaon,Slurrp Farm is a children health food brand.,2020,India
624,Medfin,healthtech,series a,1600000,Bengaluru,Medfin is a Discovery platform for medical procedures and financing.,2020,India
625,MasterG,fashion startup,seed,1600000,Delhi,MasterG is a design and skill development organisation.,2020,India
626,Brila 91,food & bevarages,seed,1200000,Delhi,Bira 91 is a craft beer company.,2020,India
627,FoodyBuddy,food industry,seed,600000,Belgaum,FoodyBuddy is a online food delivery portal,2020,India
628,Zomato,food delivery,seed,660000000,Gurgaon,Zomato is a food delivery and restaurant discovery site that provides information and reviews about restaurants,2020,India
629,OurEye.ai,virtual auditing startup,seed,120000,Bengaluru,"Video intelligence solution for Enterprise Standard Operating Procedures Monitoring and Quality Control, leveraging CCTV infrastructure.",2020,India
630,Shiprocket,e-commerce,series c,7500000,Delhi,Shiprocket helps online retailers simplify their shipping by providing a delightful post purchase experience to their consumers.,2020,India
631,Pine Labs,fintech,seed,1600000,Noida,A merchant platform company that provides financing and last-mile retail transaction technology to merchants.,2020,India
632,Moneyboxx Finance,fintech,seed,1000000,Delhi,MONEYBOXX FINANCE LTD is committed to providing easy access to financing to the deserving micro enterprises in the tier 2 and tier 3 cities of India,2020,India
633,EWar,gaming,pre-series a,1600000,Bengaluru,EWar Games is a e-sports and real-time gaming start-up.,2020,India
634,SucSEED Indovation,fintech,seed,5000000,Hyderabad,"SucSEED INDOVATION FACILITATES ACCESS TO CAPITAL FOR DEEP TECH STARTUPS TO INNOVATE, SCALE & GROW",2020,India
635,TaxBuddy.com,fintech,seed,1000000,Mumbai,TaxBuddy for any tax related issues.,2020,India
636,Awign Enterprises,work fulfillment,seed,500000,Bengaluru,Operations and manpower outsourcing startup,2020,India
637,Circle of Angels,fintech,seed,3000000,Gurgaon,Circles of Angels aims to solve this issue through the creation of a funding network that makes impact funding accessible to everyone.,2020,India
638,CoinDCX,fintech,series b,10000000,Mumbai,CoinDCX is a company that specializes in crypto-enabled financial services.,2020,India
639,Glance,ai startup,seed,145000000,Bengaluru,Glance is a screen zero platform that consumers use across connected devices to experience the Internet.,2020,India
640,VerSe Innovation,telecommunication,seed,100000000,Bengaluru,Owner of Dailyhunt App and I-Pay,2020,India
641,Voosh,food industry,pre-seed,1600000,Bengaluru,Building India's largest digital food service brand,2020,India
642,Delhivery,e-commerce,seed,1600000,Gurgaon,Delhivery is a supply chain services company that provides products and services to build trust and improve the lives of consumers.,2020,India
643,Arya,agritech,series b,21000000,Noida,"""Simplifying Agribusiness"" Throughout Agri-Supply chain, FPO Market Linkages, Market Research, Implementation",2020,India
644,Pickrr,logistics,seed,4000000,Delhi,Pickrr is an on-demand first mile logistics company,2020,India
645,PhonePe,fintech,seed,20000000,Andheri,PhonePe is a mobile payment application that enables users to transfer money instantly.,2020,India
646,Countingwell,edtech,pre-series a,1000000,Bengaluru,"An interactive Maths app, Countingwell breaks Maths concepts into short, simple modules that get kids learning with the least amount of screen time.",2020,India
647,Callify.ai,tech startup,seed,560000,Mumbai,Callify.ai is a Voice-Based Candidate Screening & Engagement platform for Talent Acquisition teams.,2020,India
648,Hudle,sports,pre-series a,1600000,Delhi,Hudle is a sports & fitness discovery & booking platform with 300+ sports venues and sports events/tournaments available for booking.,2020,India
649,Cover it Up,e-commerce,seed,400000,Chennai,Online portal that churns out high quality products,2020,India
650,BiteSpeed,e-commerce,seed,275000,Gurgaon,Chat-based commerce for E-commerce brands,2020,India
651,WakeFit,retail,series b,20000000,Bengaluru,Wakefitkart is a mattress manufacturing company,2020,India
652,Sreyas Holistic Remedies,medtech,seed,1000000,Hyderabad,Sreyas Holistic Remedies operates a chain of dermatologist clinics under the brand name of Oliva,2020,India
653,Fleeca India,tyre management,seed,1600000,Jaipur,FLEECA is a Tyre Care Provider company.,2020,India
654,M1xchange,fintech,seed,4500000,Gurgaon,M1 an online exchange for TReDS set up under the approval RBI to facilitate discounting of invoices on a PAN India basis.,2020,India
655,Exotel,cloud company,seed,5000000,Bengaluru,Exotel provides cloud telephony services such as virtual phone numbers and telephony applications for small and medium enterprises in India.,2020,India
656,PagarBook,software company,series a,15000000,Bengaluru,"Staff's Salary, Work & Attendance Management Application",2020,India
657,PointOne Capital,venture capitalist,seed,1600000,Bengaluru,Pre-seed/Seed focussed VC investor,2020,India
658,Ayana,renewable player,seed,390000000,Bengaluru,Ayana Renewable Power is an Indian renewable energy platform,2020,India
659,Fisdom,fintech,seed,7000000,Bengaluru,Fisdom is a fintech company that offers investment advisory services through an application.,2020,India
660,Tinker Coders,edtech,seed,1600000,Noida,Tinker Coder is a LIVE Online Platform through which kids will learn the art of coding,2020,India
661,Infinite Uptime,iot startup,series b,5100000,Pune,The industrial Internet platform that harnesses the power of big data & predictive analytics for data-driven decision making.,2020,India
662,HappyLocate,saas startup,pre-series a,500000,Bengaluru,"HappyLocate is India's first One Stop Relocation Platform, transforming the way Employee Relocations are managed",2020,India
663,PhonePe,fintech,seed,700000000,Delhi,PhonePe is a mobile payments application that allows the user to transfer money instantly.,2020,India
664,Loop Health,healthtech,seed,2300000,Pune,Loop Health is bringing ease and choice to patients seeking major medical treatments.,2020,India
665,NeoDocs,healthtech,pre-seed,1600000,Mumbai,Neodocs analyses medical reports and provides personalised health recommendations remotely.,2020,India
666,The ePlane,aero company,seed,1600000,Chennai,Transforming the mobility landscape using aerial transport.,2020,India
667,TagMango,marketing company,seed,700000,Mumbai,"TagMango is a marketing and advertising app that helps influencer, and brands to partner with individuals.",2020,India
668,The New Shop,retail startup,seed,500000,Delhi,The New Shop is a chain of high speed retail stores,2020,India
669,MobiKwik,fintech,seed,7000000,Gurgaon,"MobiKwik is India’s leading fintech platform, operating businesses in consumer payments, payment gateway, and financial services.",2020,India
670,DebugsBunny,edtech,seed,100000,Pune,DebugsBunny is the best Kids Coding Platform where kids are taught to code online by our expert teachers.,2020,India
671,BHIVE Investech,co-working startup,seed,1000000,Bengaluru,BHIVE is Bangalore's (India) largest Coworking space that allows entrepreneurs to take their ideas to the next level.,2020,India
672,Rivigo,logistics,seed,19000000,Gurgaon,Rivigo is a technology-enabled logistics platform provider that offers transport services.,2020,India
673,ZipLoan,finance company,seed,3000000,Delhi,ZipLoan is a online lending platform,2020,India
674,Swipez,fintech,seed,1600000,Pune,Swipez is a payment collection platform.,2020,India
675,Humus,agritech,seed,1600000,Bengaluru,Farmgate to Retail outlet Agri-Fresh produce supply chain,2020,India
676,Artivatic.ai,tech company,seed,1600000,Bengaluru,"Artivatic's patent pending technology solves complex problems in Insurance for On-boarding, Fraud, Risk Profiling, Underwriting & claims.",2020,India
677,Prescinto,solar monitoring company,seed,1600000,Ahmedabad,Prescinto provides solutions for solar monitoring and analytics solutions.,2020,India
678,Toppeq,saas startup,seed,1600000,Mumbai,SaaS-based equity management platform,2020,India
679,Bolo Indya,video sharing platform,seed,400000,Gurgaon,"Bolo Indya is a short video & commerce platform. It allows users to create, watch and share videos & discover and avail services.",2020,India
680,Bombay Play,gaming startup,seed,1000000,Bengaluru,Bombay Play is a Card and Toy Company Making games for India.,2020,India
681,FreshToHome,e-commerce,seed,1600000,Bengaluru,Freshtohome is an e-commerce platform for fresh and chemical-free seafood.,2020,India
682,KIKO TV,video streaming platform,seed,1600000,Mumbai,KIKO TV is an AI-based short live video e-commerce platform.,2020,India
683,Atomberg Technologies,consumer appliances,series b,9000000,Mumbai,"Atomberg Technology aspires to be the ""Tesla"" of the world of household appliances",2020,India
684,DealShare,e-commerce,series c,21000000,Jaipur,DealShare is a Social Commerce Startup,2020,India
685,Smallcase,fintech,seed,1600000,Bengaluru,Changing how India invests in equities,2020,India
686,CueMath,edtech,series c,40000000,Bengaluru,Cuemath is an engaging ‘learning-by-doing’ methodology for students with face-to-face sessions from highly-trained Cuemath teachers.,2020,India
687,Gamerji,gaming startup,seed,1600000,Ahmedabad,"Gamerji is an online esports gaming platform where tournaments are created for different games such as PUBG, COD, Free Fire etc.",2020,India
688,5C Network,healthtech,pre-series a,1200000,Bengaluru,"5C is India's first Diagnostics Network, making Radiodiagnosis more Accessible, Affordable and Accurate",2020,India
689,Ethereum Push Notification Service,blockchain startup,seed,750000,Mumbai,EPNS is a decentralized notification protocol,2020,India
690,Mihup,conversational ai platform,series a,1500000,Kolkata,Intelligence-based personal mobile assistant app,2020,India
691,RuralBasket,e-commerce,seed,500000,Tirunelveli,Naturally grown and healthy products directly from farmers.,2020,India
692,WayCool Foods,agritech,debt,7800000,Chennai,"WayCool has adopted a tech-enabled supply chain approach to produce staples like rice, dairy, and value added products.",2020,India
693,Infra.Market,real estate,series b,20000000,Thane,Hella Infra Market develops an online procurement marketplace intended to serve the real estate and construction materials industry.,2020,India
694,Info Edge Venture,venture capitalist,seed,50000000,Noida,"Info Edge provides online recruitment, matrimonial and real estate classifieds, and related services.",2020,India
695,Clovia,e-commerce,pre-series c,4000000,Noida,Clovia is the online lingerie retailer,2020,India
696,Codingal,edtech,seed,560000,Bengaluru,Coding education platform for K-12 students,2020,India
697,CRED,finance company,series c,80000000,Bengaluru,CRED is a members-only app that rewards the user with exclusive rewards for paying credit card bills.,2020,India
698,Vistaar Finance,finance company,seed,30000000,Bengaluru,The preferred full range Financial Services provider to the Small Business segment focused on rural and semi urban markets.,2020,India
699,Let's Dive,saas platform,seed,1700000,Bengaluru,A platform for remote employee engagement and building team culture,2020,India
700,Habitat,edtech,seed,600000,Montpellier,"Habitat, a social learning edtech platform for civil service aspirants",2020,France
701,SAWO Labs,saas platform,seed,600000,Mumbai,Providing Secure Authentication solutions to Apps and Websites. Eliminating Passwords and OTPs for a seamless User Experience.,2020,India
702,Signzy,ai platform,seed,3000000,Bengaluru,Signzy are creating 'building blocks for a Digital Trust system.,2020,India
703,KopyKitab,edtech,seed,1600000,Bengaluru,"Kopykitab is an India-based digital library that provides eBooks, and digital content in school and higher education.",2020,India
704,Kyt,edtech,seed,2500000,Singapore,Holistic education for every child | Individual and small group live classes for ages 5 - 15 years,2020,Singapore
705,Raskik,fusion beverages,pre-series a,1000000,Bengaluru,All new fusion-flavour fruit juices with the goodness of coconut and taste of India's finest fruits.,2020,India
706,GetWork,hr tech,pre-seed,40000,Gurugram,GetWork is a campus recruiting platform to post your jobs and hire across dozens of colleges at once.,2020,India
707,Mobile Premier League (MPL),gaming,series b,500000,Bengaluru,Mobile Premier League is a skill-based eSports platform used to offer cash prizes while playing games.,2020,India
708,Pravasirojgar,job portal,seed,33000000,Bengaluru,Initiative for blue-collar job workers,2020,India
709,Omatra Hotels,hospitality,seed,1600000,Kolkata,Omatra is very new hotel management firm recently registered as Omatra Hospitality Services Private Limited.,2020,India
710,Awign,job portal,pre-series b,1600000,Bengaluru,Operations and manpower outsourcing startup,2020,India
711,NewsReach,digital media,seed,1500000,Gujarat,NewsReach India offers partner publications a digital footprint and monetisation of their content via advertisements.,2020,India
712,Cashfree,fintech,series b,35000000,Bengaluru,Cashfree is a payments and banking technology company that enables businesses in India to collect payments online and make payouts.,2020,India
713,Credgenics,fintech,pre-series a,3000000,Delhi,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction",2020,India
714,GeoIQ,ai startup,seed,300000,Bengaluru,"Map-based intelligent platform with single-click access to street-level location data - demographics, competitions, movements - for retail.",2020,India
715,Country Delight,dairy startup,series c,25000000,Haryana,Country Delight produces and distributes milk intended to provide good quality and unadulterated milk at doorstep.,2020,India
716,Quintype,content management,series a,3500000,Bengaluru,"A technology company that focus on building a suite of digital publishing solutions to simplify content creation, distribution, audience engagement",2020,India
717,CARS24,retail,series e,200000000,Haryana,CARS24 is an India-based platform for selling used cars.,2020,India
718,Astrogate Labs,spacetech,seed,1600000,Bengaluru,Astrogate Labs provides high-quality products related to space infrastructure.,2020,India
719,Power Gummies,healthtech,bridge,1600000,Delhi,Power Gummies are a team of passionate givers who are dedicated to catering nutritional supplements,2020,India
720,Cityflo,transportation,series a,7000000,Mumbai,Cityflo is an urban transportation app that provides comfortable and economical buses for daily commute.,2020,India
721,AlgoBulls,trading platform,seed,200000,Mumbai,Algobulls is a state-of-the-art Trading Platform where customers are provided with Fully Automated Algorithmic Trading,2020,India
722,Credgenics,fintech,pre-series a,3000000,Gurugram,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction",2020,India
723,Inntot,tech company,seed,1600000,Kerala,"Inntot Technologies, is a technology driven company.",2020,India
724,Ensuredit,fintech,pre-series a,300000,Gurugram,ENSUREDIT enables and empowers end customers and Insurance Intermediaries with AI-based product platforms for transformational customer experience.,2020,India
725,Shipsy,ai company,series a,6000000,Gurugram,Shipsy's platform enables data driven decision making enhancing visibility and operational efficiency for Supply Chain industry,2020,India
726,ERPNext,tech company,seed,1000000,Mumbai,"ERPNext is an Open Source, Online ERP solution which includes Accounting, CRM, Inventory, Purchasing, HR, Support and a lot more.",2020,India
727,LightSpeedAI,photonics startup,seed,1600000,Bengaluru,Developer of an optoelectronic processor designed to accelerate AI computations.,2020,India
728,Grip Invest,fintech,pre-series a,1600000,Gurugram,Grip is an investment platform that allows retail investors to make small ticket investments in physical assets that earn lease income.,2020,India
729,Unacademy,edtech,seed,1600000,Bengaluru,Unacademy is an online learning platform providing educational content such as video lectures and examinations.,2020,India
730,Yellow Classes,edtech,pre-series a,1300000,Gurugram,New-age fun-learning platform for kids.,2020,India
731,Plum,healthtech,seed,4100000,Bengaluru,High quality health insurance and health benefits,2020,India
732,STAGE,entertainment,seed,1000000,Indore,STAGE is an Indian language content platform for artist-led entertainment.,2020,India
733,Nykaa,cosmetics,seed,1600000,Mumbai,Nykaa is an online marketplace for different beauty and wellness products.,2020,India
734,Kaagaz Scanner,scanning app,seed,575000,Bengaluru,Kaagaz Scanner is the Indian replacement to banned Cam Scanner App.,2020,India
735,NIRA,fintech,seed,1000000,Bengaluru,"NIRA promotes financial inclusion by creating simple, transparent products that empower individuals to live a life of choice and freedom.",2020,India
736,Prolixr,skincare startup,seed,1600000,Gurugram,A premium skincare brand committed towards building innovative skin care wellness.,2020,India
737,Byju's,edtech,seed,200000000,Bengaluru,BYJU'S is an educational technology company that develops personalized learning programs for K-12 students.,2020,India
738,DaMENSCH,e-commerce,seed,6000000,Bengaluru,DaMENSCH is a designer and seller of men's apparel.,2020,India
739,Country Delight,food and beverages,series c,25000000,Haryana,Country Delight produces and distributes milk intended to provide good quality and unadulterated milk at doorstep.,2020,India
740,SignalX,ai startup,seed,800000,Hyderabad,SignalX offers an artificial intelligence-powered SaaS platform,2020,India
741,Lancify,edtech,seed,300000,Bengaluru,Lancify is building the world's strongest young workforce,2020,India
742,Krimanshi,biotechnology company,seed,600000,Jodhpur,Krimanshi aims to increase rural income by improving the productivity of Indian cattle with better quality feed.,2020,India
743,Instoried,ai startup,pre-series a,1000000,Bengaluru,Instoried is an augmented writing platform which improves customer interest and engagement.,2020,India
744,PlayerzPot,gaming startup,series a,3000000,Mumbai,"Favorite fantasy cricket, football & kabaddi leagues online to win daily cash and prizes",2020,India
745,Instamojo,fintech,seed,1600000,Bengaluru,"Instamojo is an on-demand payments platform that enables entrepreneurs to build, manage, and grow their business online.",2020,India
746,Turtlemint,healthtech,seed,30000000,Mumbai,Turtlemint has built Indian personalized insurance platform,2020,India
747,Arata,e-commerce,pre-series a,1000000,Delhi,Arata is an e-commerce site for beauty products and cosmetics.,2020,India
748,MPL,gaming startup,seed,5000000,Bengaluru,Mobile Premier League is a skill-based eSports platform used to offer cash prizes while playing games.,2020,India
749,True Balance,fintech,seed,28000000,Gurugram,True Balance is a digital wallet that enables users to access utility bill payment and other financial products.,2020,India
750,Thrive,foodtech,pre-series a,1600000,Mumbai,"Thrive is all-in-one restaurant ordering suite for table ordering, pickup, and delivery with marketing in-built.",2020,India
751,Kitchens Centre,proptech,pre-series a,1600000,Delhi,Kitchens Centre offers turnkey solutions to cloud kitchens.,2020,India
752,Prescribe,healthtech,seed,100000,Chennai,Provide online services to patients by leveraging WhatsApp.,2020,India
753,Nepra,cleantech,series c,18000000,Ahmedabad,NEPRA Resource Management provides waste management solutions in India.,2020,India
754,inFeedo,saas startup,seed,3200000,Gurugram,"inFeedo is a predictive people analytics company helping 300,000+ employees in 100+ companies make their voice feel heard and valued.",2020,India
755,Shilpa Sciences,healthtech,pre-series a,1600000,Bengaluru,Shilps Sciences is a healthtech platform that claims to have solved gene editing by accelerating single gene cell applications.,2020,India
756,Arzooo,tech startup,seed,1600000,Bengaluru,"B2B retail tech platform transforming 300,000+ SMEs in electronics space with its flagship ""Go Store"" product",2020,India
757,MindTickle,saas platform,debt,100000000,Pune,MindTickle offers the industry's most comprehensive sales readiness solution for closing knowledge and skill gaps in customer-facing teams.,2020,India
758,Krimanshi,biotechnology company,seed,600000,Jodhpur,Krimanshi aims to increase rural income by improving the productivity of Indian cattle with better quality feed.,2020,India
759,Slice,fintech,debt,5000000,Bengaluru,Slice is a card for first-time credit card users. They are inventing the future of finance for young Indians,2020,India
760,Rapawalk,e-commerce,seed,300000,Bengaluru,Rapawalk is an online brand that offers a personalized service of creating your own shoes.,2020,India
761,Oga Fit's,fitness startup,pre-series a,1600000,Bengaluru,The new-age home workout app that gives you an unmatched boutique digital fitness studio experience.,2020,India
762,LAVAL,cosmetics,pre-series a,1600000,Bengaluru,"Laval Cosmetics, affordable makeup for all ages",2020,India
763,Stride Ventures,venture capitalist,seed,80000000,Delhi,Stride Ventures is a venture capital firm in India which aims to invest in innovative startups across the country.,2020,India
764,BlackSoil,fintech,seed,10000000,Mumbai,Blacksoil Advisory is an independent boutique advisory firm.,2020,India
765,Biocon,healthcare,seed,15000000,Bengaluru,"Biocon is a healthcare and technology, company focused on biotechnology.",2020,India
766,Clientjoy,saas startup,pre-series a,800000,Gujarat,Client Management Software For Modern Agencies.,2020,India
767,Xpressbees,e-commerce,seed,100000000,Pune,Xpressbees is an e-commerce logistics company that provides reliable logistics solutions to its partners.,2020,India
768,GalaxyCard,fintech,seed,1600000,Gurugram,Mobile based Instant credit card. | Easiest way to get a credit card. Get one in 3 minutes,2020,India
769,Wellness Forever,healthtech,seed,100000000,Mumbai,Wellness Forever is the one-stop destination for wellness,2020,India
770,MoooFarm,agritech,pre-seed,500000,Gurugram,MoooFarm is an information technology company that bridges the technology gap to help marginalized dairy farmers.,2020,India
771,BitClass,paas startup,seed,2000000,Bengaluru,BitClass is a PaaS solution which helps teachers set up their independent live classes,2020,India
772,Gonuts,entertainment,seed,400000,Mumbai,Personalised Video shoutouts from favourite celebrity.,2020,India
